route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1209972,000001,OCESN2052F107036:2021-01-05T18:51:58Z,2052,,1,
OCESN-1209972,000002,OCESN2060F106740:2021-01-05T18:51:58Z,2060,0,2,
OCESN-1209972,000003,OCESN2061F110898:2021-01-04T18:51:47Z,2061,,3,
OCESN-1209972,000004,OCESN2062F131507:2021-01-04T18:51:47Z,2062,0,4,
OCESN-1209972,000005,OCESN2077F107327:2020-12-31T18:53:22Z,2077,1,5,
OCESN-1209972,000006,OCESN2088F107020:2020-12-24T18:54:01Z,2088,0,6,
OCESN-1209972,000007,OCESN2088F116708:2021-01-05T18:51:58Z,2088,0,7,
OCESN-1209972,000001,OCESN2091F107017:2020-12-31T18:53:22Z,2091,1,8,
OCESN-1209971,000008,OCESN2223F111353:2021-01-04T18:51:47Z,2223,,9,
OCESN-1209971,000009,OCESN2223F133175:2020-12-09T14:36:18Z,2223,,10,
OCESN-143,000001,OCESN2234F108261:2020-12-08T16:10:46Z,2234,0,11,
OCESN-143,000001,OCESN2249F138887:2020-12-31T18:53:22Z,2249,1,12,
OCESN-141,000010,OCESN2253F137951:2021-01-03T18:52:14Z,2253,1,13,
OCESN-141,000004,OCESN2255F132010:2021-01-04T18:51:47Z,2255,1,14,
OCESN-141,000004,OCESN2260F131460:2021-01-04T18:51:47Z,2260,0,15,
OCESN-141,000001,OCESN2262F133879:2020-12-31T18:53:22Z,2262,0,16,
OCESN-1209972,000011,OCESN2350F111379:2021-01-05T18:51:58Z,2350,0,17,
OCESN-1209972,000001,OCESN2352F107378:2020-12-31T18:53:22Z,2352,0,18,
OCESN-1209972,000012,OCESN2356F107199:2021-01-04T18:51:47Z,2356,0,19,
OCESN-1209972,000009,OCESN2356F111318:2020-12-22T18:53:37Z,2356,0,20,
OCESN-1209972,000013,OCESN2362F129438:2021-01-04T18:51:47Z,2362,0,21,
OCESN-1209972,000013,OCESN2363F108153:2021-01-04T18:51:47Z,2363,1,22,
OCESN-1209972,000006,OCESN2364F106693:2020-12-24T18:54:01Z,2364,0,23,
OCESN-1209972,000007,OCESN2364F108958:2020-12-31T18:53:22Z,2364,0,24,
OCESN-1209972,000013,OCESN2369F148682:2021-01-04T18:51:47Z,2369,1,25,
OCESN-1209972,000001,OCESN2371F106688:2020-12-31T18:53:22Z,2371,1,26,
OCESN-1209972,000014,OCESN2377F110789:2021-01-03T18:52:14Z,2377,1,27,
OCESN-1209972,000004,OCESN2377F111113:2021-01-05T18:51:58Z,2377,1,28,
OCESN-1209972,000015,OCESN2400F110149:2021-01-01T18:52:25Z,2400,0,29,
OCESN-1209972,000013,OCESN2404F110151:2021-01-04T18:51:47Z,2404,0,30,
OCESN-1209972,000011,OCESN2407F105348:2021-01-04T18:51:47Z,2407,1,31,
OCESN-1209972,000001,OCESN2407F111915:2021-01-05T18:51:58Z,2407,1,32,
OCESN-1209972,000016,OCESN2409F109507:2020-12-08T16:10:46Z,2409,1,33,
OCESN-1209972,000017,OCESN2409F116987:2021-01-04T18:51:47Z,2409,1,34,
OCESN-1209972,000004,OCESN2421F108433:2021-01-05T18:51:58Z,2421,1,35,
OCESN-1209972,000009,OCESN2430F60629:2020-12-23T18:53:28Z,2430,0,36,
OCESN-1209972,000018,OCESN2430F107254:2021-01-05T18:51:58Z,2430,0,37,
OCESN-1209972,000004,OCESN2431F109767:2021-01-04T18:51:47Z,2431,1,38,
OCESN-1209972,000019,OCESN2440F107046:2021-01-04T18:51:47Z,2440,0,39,
OCESN-1209972,000020,OCESN2450F110169:2021-01-05T18:51:58Z,2450,0,40,
OCESN-1209972,000004,OCESN2454F110172:2021-01-04T18:51:47Z,2454,0,41,
OCESN-1209972,000021,OCESN2454F111288:2021-01-03T18:52:14Z,2454,0,42,
OCESN-1209972,000022,OCESN2465F110174:2021-01-05T18:51:58Z,2465,1,43,
OCESN-1209972,000004,OCESN2470F107061:2021-01-04T18:51:47Z,2470,0,44,
OCESN-1209972,000003,OCESN2471F116121:2021-01-04T18:51:47Z,2471,1,45,
OCESN-1209972,000006,OCESN2474F108714:2020-12-24T18:54:01Z,2474,0,46,
OCESN-1209972,000007,OCESN2474F116229:2020-12-31T18:53:22Z,2474,0,47,
OCESN-143,000013,OCESN2501F134108:2021-01-04T18:51:47Z,2501,,48,
OCESN-143,000023,OCESN2503F138149:2021-01-05T18:51:58Z,2503,,49,
OCESN-143,000011,OCESN2505F132752:2021-01-05T18:51:58Z,2505,,50,
OCESN-143,000023,OCESN2511F130783:2021-01-05T18:51:58Z,2511,,51,
OCESN-143,000013,OCESN2515F137791:2021-01-04T18:51:47Z,2515,,52,
OCESN-143,000023,OCESN2517F145675:2021-01-05T18:51:58Z,2517,,53,
OCESN-143,000013,OCESN2519F134257:2021-01-04T18:51:47Z,2519,,54,
OCESN-143,000004,OCESN2527F130871:2021-01-04T18:51:47Z,2527,,55,
OCESN-143,000013,OCESN2530F130780:2021-01-04T18:51:47Z,2530,0,56,
OCESN-143,000001,OCESN2534F130777:2020-12-31T18:53:22Z,2534,0,57,
OCESN-143,000023,OCESN2536F131969:2021-01-05T18:51:58Z,2536,0,58,
OCESN-143,000013,OCESN2536F134540:2021-01-04T18:51:47Z,2536,0,59,
OCESN-143,000024,OCESN2540F105813:2020-12-08T16:10:46Z,2540,0,60,
OCESN-143,000025,OCESN2540F111367:2020-12-08T16:10:46Z,2540,0,61,
OCESN-143,000026,OCESN2540F131742:2021-01-05T18:51:58Z,2540,0,62,
OCESN-143,000027,OCESN2540F133877:2021-01-04T18:51:47Z,2540,0,63,
